dist_id,dist_name,lat,long,subdivision
1,Ahilya Nagar,19.05,74.48,Madhya Maharashtra
2,Akola,20.42,77.02,Vidarbha
3,Amravati,20.56,77.48,Vidarbha
4,Beed,18.99,75.75,Marathwada
5,Bhandara,21.09,79.42,Vidarbha
6,Buldhana,20.32,76.14,Vidarbha
7,Chandrapur,19.57,79.21,Vidarbha
8,Chhatrapati Sambhajinagar,19.53,75.23,Marathwada
9,Dharashiv,18.08,76.06,Marathwada
10,Dhule,20.58,74.47,Madhya Maharashtra
11,Gadchiroli,20.18,79.99,Vidarbha
12,Gondiya,21.28,80.29,Vidarbha
13,Hingoli,19.43,77.11,Marathwada
14,Jalgaon,21.05,75.4,Madhya Maharashtra
15,Jalna,19.51,75.56,Marathwada
16,Kolhapur,16.42,74.16,Madhya Maharashtra
17,Latur,18.24,76.36,Marathwada
18,Mumbai City,18.97,72.83,Konkan
19,Mumbai Suburban,19.11,72.87,Konkan
20,Nagpur,21.09,79.09,Vidarbha
21,Nanded,19.09,77.27,Marathwada
22,Nandurbar,21.23,74.19,Madhya Maharashtra
23,Nashik,20.02,73.5,Madhya Maharashtra
24,Palghar,19.69,72.76,Konkan
25,Parbhani,19.08,76.5,Marathwada
26,Pune,18.31,73.55,Madhya Maharashtra
27,Raigad,18.44,73.05,Konkan
28,Ratnagiri,17.08,73.19,Konkan
29,Sangli,16.52,74.36,Madhya Maharashtra
30,Satara,17.42,74.02,Madhya Maharashtra
31,Sindhudurg,16.34,73.55,Konkan
32,Solapur,17.65,75.9,Madhya Maharashtra
33,Thane,19.12,73.02,Konkan
34,Wardha,20.45,78.39,Vidarbha
35,Washim,20.11,77.13,Vidarbha
36,Yavatmal,20.23,78.11,Vidarbha
